Timestamp,SSID,RSSI (dBm),MAC Address,Voltage (mV),Current (A),Voltage (V),Power (W),SSID_Encoded
0:00:00,TMan 5g,-71,A0:63:91:E3:0D:AF,3749.080237694725,0.4625018322084147,3.749080237694725,1.7339564790301691,19
0:00:00,Private,-72,6E:D7:9A:71:29:C0,4901.428612819833,0.19981847993980245,4.901428612819833,0.9793960149471136,13
0:00:00,College Inn Guest,-72,68:D7:9A:71:29:C0,4463.98788362281,0.2087798904514524,4.46398788362281,0.9319909013193811,3
0:00:00,DIRECT-tLMFC-L2750DW_BR6394,-74,AE:D5:64:49:63:94,4197.316968394073,0.4037593049671855,4.197316968394073,1.694705781885765,4
0:00:00,MySpectrumWiFi7B-2G,-86,1C:B0:44:3E:6D:79,3312.037280884873,0.279895936980216,3.312037280884873,0.9270257780466783,11
0:00:00,SpectrumSetup-6D,-90,88:DE:7C:58:39:6B,3311.9890406724053,0.4106842227820725,3.311989040672405,1.3601816450312887,16
0:00:13,Private,-69,6E:D7:9A:71:29:C0,3116.1672243363987,0.1261464630257541,3.1161672243363987,0.39309347354681834,13
0:00:13,College Inn Guest,-69,68:D7:9A:71:29:C0,4732.352291549871,0.29502847746935373,4.732352291549871,1.3961786914245657,3
0:00:13,TMan 5g,-75,A0:63:91:E3:0D:AF,4202.230023486418,0.11344544007331306,4.202230023486418,0.4767238343037054,19
0:00:13,DIRECT-tLMFC-L2750DW_BR6394,-79,AE:D5:64:49:63:94,4416.145155592091,0.12506128138214181,4.416145155592091,0.552288771927885,4
0:00:13,MySpectrumWiFi7B-2G,-92,1C:B0:44:3E:6D:79,3041.168988591605,0.4625749813377644,3.041168988591605,1.4067686881427495,11
0:00:26,College Inn Guest,-70,68:D7:9A:71:29:C0,4939.819704323989,0.15569814844703808,4.939819704323988,0.7691207816254401,3
0:00:26,Private,-71,6E:D7:9A:71:29:C0,4664.885281600844,0.3129682729100869,4.664885281600844,1.4599610899063005,13
0:00:26,TMan 5g,-82,A0:63:91:E3:0D:AF,3424.678221356552,0.26443824104028263,3.424678221356552,0.9056158849844903,19
